"token","class"
"Technology","technology"
"User","user"
"Application","application"
"Information","information"
"Purpose","purpose"
"Requirement","requirement"
"Approach","approach"
"Equipment","technology"
"User interface","technology"
"Distribution of information","approach"
"Security","purpose"
"Platform","technology"
"Knowledge","information"
"Standard operating procedure","information"
"Operator","user"
"Peace","purpose"
"Adversaries","user"
"Surveillance","application"
"Interoperability","requirement"
"Integration","requirement"
"Observation","application"
"Tactics","information"
"Agency","user"
"Geographic location","information"
"E mail","information"
"Report","information"
"Manager","user"
"Cooperation","purpose"
"Data fusion","application"
"Signature","information"
"Receivers","technology"
"Charting","information"
"Cyberspace","technology"
"Processor","technology"
"Network security","purpose"
"Positioning","application"
"Multiplexing","requirement"
"Video","information"
"Agile c2","approach"
"Schedules","information"
"Repository","information"
"Organization","user"
"Ip protocol","information"
"Armys","user"
"Patrol","user"
"Shared awareness","purpose"
"Fight","purpose"
"Efficiency","requirement"
"Phone","technology"
"Information processing","application"
"Strategy","information"
"Database","information"
"Commander","user"
"Intelligence cycle","information"
"Quality","requirement"
"Aerospace","technology"
"Social media","technology"
"Long term evolution","technology"
"Decision makers","user"
"Framework","approach"
"Defence","purpose"
"Decision making","application"
"Network","technology"
"Hardware","technology"
"Sharing information","application"
"Mobile","technology"
"Collaboration","purpose"
"Stability","requirement"
"Cloud","technology"
"Web services","technology"
"3d printing","technology"
"Intelligent agent","user"
"Protection","purpose"
"Target acquisition","application"
"Business intelligence","application"
"Modem","technology"
"Unmanned aerial vehicle","technology"
"Wireless","technology"
"Organization of data","application"
"Collection management","application"
"Cryptanalysis","application"
"Battlespace","application"
"Data transfer","application"
"Drone","technology"
"Experimentation","application"
"Coherence","requirement"
"Camera","technology"
"Digital communications","technology"
"Situational awareness","purpose"
"Radio","technology"
"Peer to peer","technology"
"Malware","technology"
"Organisation","user"
"Virtual reality","technology"
"Mobile applications","technology"
"Asynchronous transfer mode","requirement"
"Analysis tools","technology"
"Virus","technology"
"Coordination","purpose"
"Synchronisation","application"
"Mobility","requirement"
"Console","technology"
"Middle managers","user"
"Data storage","application"
"Connectivity","requirement"
"Windows","technology"
"Legacy","technology"
"Robot","technology"
"Datacenter","technology"
"Remote support","application"
"Maintenance","application"
"Warfighting","application"
"Circuit","technology"
"Display","technology"
"Richness","requirement"
"Functionality","requirement"
"Tablet","technology"
"Air traffic control","application"
"Identification","application"
"Information sharing","application"
"Standards","information"
"Communications intelligence","application"
"Messaging","application"
"Attack","purpose"
"Safety","purpose"
"Intrusion detection","application"
"Alerts","information"
"Transistors","technology"
"Broadband","technology"
"Telegraphy","application"
"Compatibility","requirement"
"Communications channels","technology"
"Program","information"
"C2 approach","approach"
"Gps receiver","technology"
"Programming","application"
"Agility","requirement"
"Internet","technology"
"Testing","application"
"Liability","requirement"
"Troops","user"
"Brigade","user"
"Electronic mail","information"
"Browser","technology"
"Data","information"
"Rules of engagement","approach"
"Chip","technology"
"Sensor","technology"
"Plans","information"
"Patterns of interaction","approach"
"Interaction","purpose"
"Reporting","application"
"Accuracy","requirement"
"Ship","technology"
"Dissemination","application"
"Artillery","technology"
"Enemy","user"
"User","user"
"Planners","user"
"Automation","application"
"Responsiveness","requirement"
"Facebook","technology"
"Address","information"
"Allocation of decision rights","approach"
"Pilot","user"
"Reliability","requirement"
"Aviation","technology"
"Information","information"
"Locations","information"
"Server","technology"
"Computer","technology"
"Map","information"
"Vehicles","technology"
"Central processing unit","user"
"Situation awareness","purpose"
"Shared understanding","purpose"
"Android","technology"
"Effectors","technology"
"3g","technology"
"Architecture","approach"
"Corps","user"
"Procedures","information"
"Headquarters","user"
"Echelons","user"
"Command","application"
"Military operations","application"
"Software","technology"
"Mission","application"
"Cellular","technology"
"Data exchange","application"
"Radar","technology"
"Aircraft","technology"
"Feedback","information"
"Weapon","technology"
"Combat","purpose"
"Antenna","technology"
"Control","application"
"Monitoring","application"
"Operating system","technology"
"Router","technology"
"Interfaces","technology"
"Track management","application"
"Full motion video","information"
"Navigation","application"
"Effectiveness","requirement"
"Java","technology"
"Record","information"
"Smartphone","technology"
"Predictive analysis","application"
"Encryption","application"
"Data visualization","application"
"Electronic equipment","technology"
"Soldier","user"
"Data analysis","application"
"Fighting","application"
"Data interchange","application"
"Measurement","information"
"Project","information"
"Shell","technology"
"Human intelligence","application"
"Units","user"
"Make decisions","application"
"Missile","technology"
"Digital signal","information"
"Laptop","technology"
"Communication","application"
"Intelligence","application"
"Reconnaissance","application"
"Email","information"
"Protocol","information"
"Leader","user"
"Analysts","user"
"Fighter","user"
"Data management","application"
"Infantry","user"
"Militaries","user"
"Design","application"
"Network enabled capability","requirement"
"Knowledge management","application"
"Signal","information"
"Photogrammetry","application"
"Responsibility","requirement"
"Clustering","technology"
"Intranet","technology"
"Open system","technology"
"Warfare","application"
"Authentication","application"
"Simulation","application"
"Air operation","application"
"Battlefield","application"
"Planning","application"
"Privacy","requirement"
"Superiority","purpose"
"Exploitation","application"
"Virtualization","application"
"Electronic system","technology"
"Precision","requirement"
"Sonar","technology"
"Twitter","technology"
"Battle","application"
"Decision support","application"
"Conflict","application"
"Data transmission","application"
"Kernel","technology"
"Extranet","technology"
"Wifi","technology"
"Transmitter","technology"
"Management system","technology"
"Unified modeling language","technology"
"Friendly forces","user"
"Imagery","application"
"Implementation","application"
"Satellite","technology"
"Instruction","information"
"Resilience","requirement"
"Airborne","technology"
"Adaptiveness","requirement"
"Extensible markup language","technology"
"Exchange","application"
"Flexibility","requirement"
"Availability","requirement"
"Digital technology","technology"
"Middleware","technology"
"Armed forces","user"
"Naval operation","application"
"Force","user"
"Asset tracking","application"
"Logistic","application"
"Open source","technology"
"Jini","technology"
"Electronic commerce","technology"
"Tank","technology"
"Air force","user"
"Marine corps","user"
"Production","application"
"Training","application"
"Innovation","application"
"Airspace management","application"
"Cryptography","application"
"Recognition","application"
"Data processing","application"
"Helicopters","technology"
